strict_id,source_task_id,source_split,source_array_index,subject_id,target_record_id,window_id,window_index,start_sample_500hz,end_sample_500hz_exclusive,dedup_key
D12_STRICT_0000057,task1,train,191,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W009,9,45000,50000,d12_0a5d33eea70d46:45000:50000
D12_STRICT_0000058,task1,train,192,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W010,10,50000,55000,d12_0a5d33eea70d46:50000:55000
D12_STRICT_0000059,task2,train,599,HNU11065,d12_0a5d33eea70d46,TASK2_e06c1e081a810f_W011,11,55000,60000,d12_0a5d33eea70d46:55000:60000
D12_STRICT_0000060,task1,train,286,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W000,0,0,5000,d12_0c5d2279cd0d26:0:5000
D12_STRICT_0000061,task1,train,287,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W001,1,5000,10000,d12_0c5d2279cd0d26:5000:10000
D12_STRICT_0000062,task1,train,288,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W002,2,10000,15000,d12_0c5d2279cd0d26:10000:15000
D12_STRICT_0000063,task1,train,289,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W003,3,15000,20000,d12_0c5d2279cd0d26:15000:20000
D12_STRICT_0000064,task1,train,290,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W004,4,20000,25000,d12_0c5d2279cd0d26:20000:25000
D12_STRICT_0000065,task1,train,291,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W005,5,25000,30000,d12_0c5d2279cd0d26:25000:30000
D12_STRICT_0000066,task1,train,292,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W006,6,30000,35000,d12_0c5d2279cd0d26:30000:35000
D12_STRICT_0000067,task1,train,293,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W007,7,35000,40000,d12_0c5d2279cd0d26:35000:40000
D12_STRICT_0000068,task1,train,294,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W008,8,40000,45000,d12_0c5d2279cd0d26:40000:45000
D12_STRICT_0000069,task1,train,295,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W009,9,45000,50000,d12_0c5d2279cd0d26:45000:50000
D12_STRICT_0000070,task1,train,296,HNU11090,d12_0c5d2279cd0d26,TASK1_487a767d0cf827_W010,10,50000,55000,d12_0c5d2279cd0d26:50000:55000
D12_STRICT_0000071,task2,train,840,HNU11090,d12_0c5d2279cd0d26,TASK2_58729534899fe5_W011,11,55000,60000,d12_0c5d2279cd0d26:55000:60000
D12_STRICT_0000072,task1,train,436,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W000,0,0,5000,d12_1169122ce7bb98:0:5000
D12_STRICT_0000073,task1,train,437,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W001,1,5000,10000,d12_1169122ce7bb98:5000:10000
D12_STRICT_0000074,task1,train,438,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W002,2,10000,15000,d12_1169122ce7bb98:10000:15000
D12_STRICT_0000075,task1,train,439,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W003,3,15000,20000,d12_1169122ce7bb98:15000:20000
D12_STRICT_0000076,task1,train,440,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W004,4,20000,25000,d12_1169122ce7bb98:20000:25000
D12_STRICT_0000077,task1,train,441,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W005,5,25000,30000,d12_1169122ce7bb98:25000:30000
D12_STRICT_0000078,task1,train,442,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W006,6,30000,35000,d12_1169122ce7bb98:30000:35000
D12_STRICT_0000079,task1,train,443,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W007,7,35000,40000,d12_1169122ce7bb98:35000:40000
D12_STRICT_0000080,task1,train,444,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W008,8,40000,45000,d12_1169122ce7bb98:40000:45000
D12_STRICT_0000081,task1,train,445,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W009,9,45000,50000,d12_1169122ce7bb98:45000:50000
D12_STRICT_0000082,task1,train,446,HNU11026,d12_1169122ce7bb98,TASK1_5ab1e8da6cb5d9_W010,10,50000,55000,d12_1169122ce7bb98:50000:55000
D12_STRICT_0000083,task2,train,251,HNU11026,d12_1169122ce7bb98,TASK2_8d3af9bc9c8d70_W011,11,55000,60000,d12_1169122ce7bb98:55000:60000
D12_STRICT_0000084,task1,train,480,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W000,0,0,5000,d12_12e9a19941df75:0:5000
D12_STRICT_0000085,task1,train,481,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W001,1,5000,10000,d12_12e9a19941df75:5000:10000
D12_STRICT_0000086,task1,train,482,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W002,2,10000,15000,d12_12e9a19941df75:10000:15000
D12_STRICT_0000087,task1,train,483,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W003,3,15000,20000,d12_12e9a19941df75:15000:20000
D12_STRICT_0000088,task1,train,484,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W004,4,20000,25000,d12_12e9a19941df75:20000:25000
D12_STRICT_0000089,task1,train,485,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W005,5,25000,30000,d12_12e9a19941df75:25000:30000
D12_STRICT_0000090,task1,train,486,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W006,6,30000,35000,d12_12e9a19941df75:30000:35000
D12_STRICT_0000091,task1,train,487,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W007,7,35000,40000,d12_12e9a19941df75:35000:40000
D12_STRICT_0000092,task1,train,488,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W008,8,40000,45000,d12_12e9a19941df75:40000:45000
D12_STRICT_0000093,task1,train,489,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W009,9,45000,50000,d12_12e9a19941df75:45000:50000
D12_STRICT_0000094,task1,train,490,HNU11082,d12_12e9a19941df75,TASK1_f2273e77399fa5_W010,10,50000,55000,d12_12e9a19941df75:50000:55000
D12_STRICT_0000095,task2,train,755,HNU11082,d12_12e9a19941df75,TASK2_fa28e803ece46c_W011,11,55000,60000,d12_12e9a19941df75:55000:60000
D12_STRICT_0000096,task2,train,756,HNU11082,d12_12e9a19941df75,TASK2_fa28e803ece46c_W012,12,60000,65000,d12_12e9a19941df75:60000:65000
D12_STRICT_0000097,task1,train,809,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W000,0,0,5000,d12_145af1ec7842b7:0:5000
D12_STRICT_0000098,task1,train,810,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W001,1,5000,10000,d12_145af1ec7842b7:5000:10000
D12_STRICT_0000099,task1,train,811,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W002,2,10000,15000,d12_145af1ec7842b7:10000:15000
D12_STRICT_0000100,task1,train,812,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W003,3,15000,20000,d12_145af1ec7842b7:15000:20000
D12_STRICT_0000101,task1,train,813,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W004,4,20000,25000,d12_145af1ec7842b7:20000:25000
D12_STRICT_0000102,task1,train,814,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W005,5,25000,30000,d12_145af1ec7842b7:25000:30000
D12_STRICT_0000103,task1,train,815,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W006,6,30000,35000,d12_145af1ec7842b7:30000:35000
D12_STRICT_0000104,task1,train,816,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W007,7,35000,40000,d12_145af1ec7842b7:35000:40000
D12_STRICT_0000105,task1,train,817,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W008,8,40000,45000,d12_145af1ec7842b7:40000:45000
D12_STRICT_0000106,task1,train,818,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W009,9,45000,50000,d12_145af1ec7842b7:45000:50000
D12_STRICT_0000107,task1,train,819,HNU11087,d12_145af1ec7842b7,TASK1_f24cb1a8c5b232_W010,10,50000,55000,d12_145af1ec7842b7:50000:55000
D12_STRICT_0000108,task2,train,804,HNU11087,d12_145af1ec7842b7,TASK2_b6449161ec4dbf_W011,11,55000,60000,d12_145af1ec7842b7:55000:60000
D12_STRICT_0000109,task1,train,571,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W000,0,0,5000,d12_14e679ac6083ad:0:5000
D12_STRICT_0000110,task1,train,572,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W001,1,5000,10000,d12_14e679ac6083ad:5000:10000
D12_STRICT_0000111,task1,train,573,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W002,2,10000,15000,d12_14e679ac6083ad:10000:15000
D12_STRICT_0000112,task1,train,574,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W003,3,15000,20000,d12_14e679ac6083ad:15000:20000
D12_STRICT_0000113,task1,train,575,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W004,4,20000,25000,d12_14e679ac6083ad:20000:25000
D12_STRICT_0000114,task1,train,576,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W005,5,25000,30000,d12_14e679ac6083ad:25000:30000
D12_STRICT_0000115,task1,train,577,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W006,6,30000,35000,d12_14e679ac6083ad:30000:35000
D12_STRICT_0000116,task1,train,578,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W007,7,35000,40000,d12_14e679ac6083ad:35000:40000
D12_STRICT_0000117,task1,train,579,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W008,8,40000,45000,d12_14e679ac6083ad:40000:45000
D12_STRICT_0000118,task1,train,580,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W009,9,45000,50000,d12_14e679ac6083ad:45000:50000
D12_STRICT_0000119,task1,train,581,HNU11091,d12_14e679ac6083ad,TASK1_1a71fd6435fc32_W010,10,50000,55000,d12_14e679ac6083ad:50000:55000
D12_STRICT_0000120,task2,train,852,HNU11091,d12_14e679ac6083ad,TASK2_a6d9b7cfc74047_W011,11,55000,60000,d12_14e679ac6083ad:55000:60000
D12_STRICT_0000121,task1,train,204,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W000,0,0,5000,d12_159efea54a4622:0:5000
D12_STRICT_0000122,task1,train,205,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W001,1,5000,10000,d12_159efea54a4622:5000:10000
D12_STRICT_0000123,task1,train,206,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W002,2,10000,15000,d12_159efea54a4622:10000:15000
D12_STRICT_0000124,task1,train,207,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W003,3,15000,20000,d12_159efea54a4622:15000:20000
D12_STRICT_0000125,task1,train,208,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W004,4,20000,25000,d12_159efea54a4622:20000:25000
D12_STRICT_0000126,task1,train,209,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W005,5,25000,30000,d12_159efea54a4622:25000:30000
D12_STRICT_0000127,task2,train,678,HNU11074,d12_159efea54a4622,TASK2_3035f2223c2f81_W006,6,30000,35000,d12_159efea54a4622:30000:35000
D12_STRICT_0000128,task1,train,210,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W007,7,35000,40000,d12_159efea54a4622:35000:40000
D12_STRICT_0000129,task1,train,211,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W008,8,40000,45000,d12_159efea54a4622:40000:45000
D12_STRICT_0000130,task1,train,212,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W009,9,45000,50000,d12_159efea54a4622:45000:50000
D12_STRICT_0000131,task1,train,213,HNU11074,d12_159efea54a4622,TASK1_bbefcada23b54a_W010,10,50000,55000,d12_159efea54a4622:50000:55000
D12_STRICT_0000132,task2,train,683,HNU11074,d12_159efea54a4622,TASK2_3035f2223c2f81_W011,11,55000,60000,d12_159efea54a4622:55000:60000
D12_STRICT_0000133,task1,train,86,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W000,0,0,5000,d12_197ccfbd7661de:0:5000
D12_STRICT_0000134,task1,train,87,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W001,1,5000,10000,d12_197ccfbd7661de:5000:10000
D12_STRICT_0000135,task1,train,88,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W002,2,10000,15000,d12_197ccfbd7661de:10000:15000
D12_STRICT_0000136,task1,train,89,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W003,3,15000,20000,d12_197ccfbd7661de:15000:20000
D12_STRICT_0000137,task1,train,90,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W004,4,20000,25000,d12_197ccfbd7661de:20000:25000
D12_STRICT_0000138,task1,train,91,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W005,5,25000,30000,d12_197ccfbd7661de:25000:30000
D12_STRICT_0000139,task1,train,92,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W006,6,30000,35000,d12_197ccfbd7661de:30000:35000
D12_STRICT_0000140,task1,train,93,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W007,7,35000,40000,d12_197ccfbd7661de:35000:40000
D12_STRICT_0000141,task1,train,94,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W008,8,40000,45000,d12_197ccfbd7661de:40000:45000
D12_STRICT_0000142,task1,train,95,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W009,9,45000,50000,d12_197ccfbd7661de:45000:50000
D12_STRICT_0000143,task1,train,96,HNU11072,d12_197ccfbd7661de,TASK1_f2146396a405ea_W010,10,50000,55000,d12_197ccfbd7661de:50000:55000
D12_STRICT_0000144,task2,train,647,HNU11072,d12_197ccfbd7661de,TASK2_53888e28b7d62c_W011,11,55000,60000,d12_197ccfbd7661de:55000:60000
D12_STRICT_0000145,task1,train,232,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W000,0,0,5000,d12_1c235c205c25c5:0:5000
D12_STRICT_0000146,task1,train,233,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W001,1,5000,10000,d12_1c235c205c25c5:5000:10000
D12_STRICT_0000147,task1,train,234,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W002,2,10000,15000,d12_1c235c205c25c5:10000:15000
D12_STRICT_0000148,task1,train,235,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W003,3,15000,20000,d12_1c235c205c25c5:15000:20000
D12_STRICT_0000149,task1,train,236,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W004,4,20000,25000,d12_1c235c205c25c5:20000:25000
D12_STRICT_0000150,task1,train,237,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W005,5,25000,30000,d12_1c235c205c25c5:25000:30000
D12_STRICT_0000151,task1,train,238,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W006,6,30000,35000,d12_1c235c205c25c5:30000:35000
D12_STRICT_0000152,task1,train,239,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W007,7,35000,40000,d12_1c235c205c25c5:35000:40000
D12_STRICT_0000153,task1,train,240,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W008,8,40000,45000,d12_1c235c205c25c5:40000:45000
D12_STRICT_0000154,task1,train,241,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W009,9,45000,50000,d12_1c235c205c25c5:45000:50000
D12_STRICT_0000155,task1,train,242,HNU11059,d12_1c235c205c25c5,TASK1_67ffd2a8522f53_W010,10,50000,55000,d12_1c235c205c25c5:50000:55000
D12_STRICT_0000156,task2,train,563,HNU11059,d12_1c235c205c25c5,TASK2_f80af8f5ea44f6_W011,11,55000,60000,d12_1c235c205c25c5:55000:60000
D12_STRICT_0000157,task1,train,149,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W000,0,0,5000,d12_1e5211198ea573:0:5000
D12_STRICT_0000158,task1,train,150,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W001,1,5000,10000,d12_1e5211198ea573:5000:10000
D12_STRICT_0000159,task1,train,151,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W002,2,10000,15000,d12_1e5211198ea573:10000:15000
D12_STRICT_0000160,task1,train,152,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W003,3,15000,20000,d12_1e5211198ea573:15000:20000
D12_STRICT_0000161,task1,train,153,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W004,4,20000,25000,d12_1e5211198ea573:20000:25000
D12_STRICT_0000162,task1,train,154,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W005,5,25000,30000,d12_1e5211198ea573:25000:30000
D12_STRICT_0000163,task1,train,155,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W006,6,30000,35000,d12_1e5211198ea573:30000:35000
D12_STRICT_0000164,task1,train,156,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W007,7,35000,40000,d12_1e5211198ea573:35000:40000
D12_STRICT_0000165,task1,train,157,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W008,8,40000,45000,d12_1e5211198ea573:40000:45000
D12_STRICT_0000166,task1,train,158,HNU11005,d12_1e5211198ea573,TASK1_42854fb9143a7c_W009,9,45000,50000,d12_1e5211198ea573:45000:50000
